127.0.0.1 - - [26/Dec/2016:16:50:18 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:20 +0530] "GET /mygiftfrontend/ HTTP/1.1" 200 11631
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:20 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 200 18096862
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:20 +0530] "GET /mygiftfrontend/resources/images/white-background-wallpaper-004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:20 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 200 18096862
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:20 +0530] "GET /mygiftfrontend/resources/images/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:22 +0530] "GET /mygiftfrontend/images HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:24 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17695454
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:24 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 200 18096862
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:24 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17933022
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:28 +0530] "GET /mygiftfrontend/ HTTP/1.1" 200 11631
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:28 +0530] "GET /mygiftfrontend/resources/images/Td.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:28 +0530] "GET /mygiftfrontend/resources/images/gi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:28 +0530] "GET /mygiftfrontend/resources/images/fo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:28 +0530] "GET /mygiftfrontend/resources/images/white-background-wallpaper-004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:28 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17933022
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:28 +0530] "GET /mygiftfrontend/resources/images/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:31 +0530] "GET /mygiftfrontend/ HTTP/1.1" 200 11631
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:31 +0530] "GET /mygiftfrontend/resources/images/Td.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:31 +0530] "GET /mygiftfrontend/resources/images/gi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:31 +0530] "GET /mygiftfrontend/resources/images/fo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:31 +0530] "GET /mygiftfrontend/resources/images/white-background-wallpaper-004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:31 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17810142
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:31 +0530] "GET /mygiftfrontend/resources/images/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:31 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17720030
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:54 +0530] "GET /mygiftfrontend/ HTTP/1.1" 200 11631
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:54 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17720030
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:50:57 +0530] "GET /mygiftfrontend/aboutus HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:51:00 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17629918
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:51:02 +0530] "GET /mygiftfrontend/ HTTP/1.1" 200 11631
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:51:02 +0530] "GET /mygiftfrontend/resources/images/Td.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:51:02 +0530] "GET /mygiftfrontend/resources/images/gi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:51:02 +0530] "GET /mygiftfrontend/resources/images/fo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:51:02 +0530] "GET /mygiftfrontend/resources/images/white-background-wallpaper-004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:51:02 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17547998
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:51:02 +0530] "GET /mygiftfrontend/resources/images/images.jpg HTTP/1.1" 304 -
